                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.67679,                0.65115,                 1.1098,                0.76537,                 0.6975,                0.77482,                0.61739,                 0.8743,                 1.1802,                 1.4324,              0.0004387,              0.0004387,              0.0004387
                     73,                0.68704,                0.65133,                 1.1179,                0.78526,                0.72011,                0.79422,                0.64439,                0.84911,                 1.2019,                 1.4178,             0.00042456,             0.00042456,             0.00042456
                     74,                0.68916,                0.60249,                 1.1247,                0.76688,                0.71712,                0.80269,                0.65814,                0.86209,                 1.1461,                 1.4217,             0.00041041,             0.00041041,             0.00041041
                     75,                0.69053,                0.65159,                 1.1368,                 0.7821,                0.79025,                0.79985,                0.64224,                0.85786,                 1.0833,                 1.4403,             0.00039626,             0.00039626,             0.00039626
                     76,                  0.711,                0.64162,                 1.1039,                0.78927,                0.79861,                0.79135,                 0.6382,                0.89091,                 1.0419,                 1.4823,             0.00038211,             0.00038211,             0.00038211
                     77,                  0.668,                0.60698,                 1.1089,                 0.7726,                0.81944,                0.81117,                0.66035,                0.82768,                 1.0318,                 1.3812,             0.00036797,             0.00036797,             0.00036797
                     78,                0.65911,                0.58721,                 1.1029,                0.81409,                0.81687,                0.83187,                0.68968,                 0.7729,                 0.9915,                 1.3287,             0.00035382,             0.00035382,             0.00035382
                     79,                0.63369,                0.57499,                 1.0688,                0.79873,                0.76582,                0.80918,                0.67199,                0.76865,                 1.1652,                 1.3339,             0.00033967,             0.00033967,             0.00033967
                     80,                0.66104,                0.59144,                   1.08,                0.79196,                0.81398,                0.81072,                0.67956,                0.72018,                 1.0494,                 1.2804,             0.00032553,             0.00032553,             0.00032553
                     81,                0.65051,                0.58363,                 1.1053,                0.85204,                   0.75,                0.78039,                0.64987,                 0.7312,                 1.0673,                  1.286,             0.00031138,             0.00031138,             0.00031138
                     82,                0.66026,                0.59541,                 1.1053,                0.80865,                0.81847,                 0.7853,                 0.6688,                0.74582,                 1.0892,                 1.3339,             0.00029723,             0.00029723,             0.00029723
                     83,                0.60923,                 0.5208,                 1.0775,                0.83743,                0.69998,                0.78804,                0.65312,                0.80349,                 1.1801,                 1.3675,             0.00028308,             0.00028308,             0.00028308
                     84,                0.61945,                0.56333,                 1.0667,                0.82885,                0.68537,                 0.7849,                0.62643,                 0.8913,                  1.245,                 1.4221,             0.00026894,             0.00026894,             0.00026894
                     85,                0.60471,                0.54566,                 1.0861,                0.82413,                0.68551,                0.80306,                 0.6319,                0.86959,                 1.2429,                 1.4176,             0.00025479,             0.00025479,             0.00025479
                     86,                0.63706,                0.60413,                  1.089,                0.84213,                0.78351,                0.80913,                0.67978,                0.80025,                 1.1473,                 1.3725,             0.00024064,             0.00024064,             0.00024064
                     87,                0.58462,                0.51316,                  1.055,                0.79377,                0.81944,                 0.8079,                0.67684,                0.75994,                 1.1225,                 1.3615,              0.0002265,              0.0002265,              0.0002265
                     88,                0.58579,                 0.5469,                 1.0652,                0.84522,                0.81492,                0.80562,                0.66951,                0.74717,                 1.1538,                 1.3432,             0.00021235,             0.00021235,             0.00021235
                     89,                 0.6128,                0.52778,                  1.082,                0.83501,                0.79861,                0.83037,                0.69924,                0.75452,                 1.1377,                 1.3452,              0.0001982,              0.0001982,              0.0001982
                     90,                0.53891,                0.51166,                 1.0524,                0.83459,                0.77778,                0.82612,                 0.6816,                 0.7285,                 1.1253,                 1.3319,             0.00018406,             0.00018406,             0.00018406
                     91,                0.56055,                0.54272,                 1.0404,                0.82841,                0.77877,                0.83235,                0.70179,                0.69764,                 1.1007,                 1.3006,             0.00016991,             0.00016991,             0.00016991
                     92,                0.56512,                0.48705,                 1.0311,                0.81355,                0.83895,                0.83368,                0.70474,                0.68325,                 1.0889,                  1.294,             0.00015576,             0.00015576,             0.00015576
                     93,                0.52025,                0.46189,                 1.0114,                 0.8273,                0.83463,                0.83035,                0.69921,                0.73434,                 1.0382,                 1.3432,             0.00014161,             0.00014161,             0.00014161
                     94,                0.48928,                0.41953,                0.99218,                0.82921,                0.81944,                0.82706,                0.69195,                0.75371,                0.99107,                 1.3573,             0.00012747,             0.00012747,             0.00012747
                     95,                0.48258,                0.41846,                0.97964,                0.83312,                0.79795,                 0.8168,                0.69261,                0.76243,                0.98638,                 1.3675,             0.00011332,             0.00011332,             0.00011332
                     96,                0.51718,                 0.4108,                 1.0059,                0.84506,                0.81944,                0.81352,                0.68603,                0.77166,                0.98398,                 1.3733,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                0.47895,                0.38831,                0.98306,                0.84234,                0.81944,                  0.812,                0.68319,                0.78789,                0.96471,                 1.3874,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.48246,                 0.3819,                0.97496,                 0.8605,                0.79861,                0.82453,                0.68624,                0.79291,                0.94248,                 1.3914,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                0.48203,                 0.4123,                0.97667,                0.86895,                0.79093,                0.82889,                0.68276,                  0.806,                0.96163,                 1.4011,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                0.47739,                 0.3954,                 1.0005,                0.86567,                0.79076,                0.82806,                0.67845,                0.77965,                0.96666,                  1.376,             4.2584e-05,             4.2584e-05,             4.2584e-05
